,p,b,t,d,k,ɡ,f,v,θ,ð,s,z,ʃ,ʒ,h,m,n,ŋ,l,r,j,w,tʃ,dʒ
p,1.0,0.9,0.781,0.683,0.6,0.5,0.8,0.7,0.683,0.586,0.586,0.488,0.488,0.39,0.5,0.7,0.488,0.3,0.39,0.369,0.3,0.2,0.781,0.683
b,0.9,1.0,0.683,0.781,0.5,0.6,0.7,0.8,0.586,0.683,0.488,0.586,0.39,0.488,0.4,0.8,0.586,0.4,0.488,0.474,0.4,0.3,0.683,0.781
t,0.781,0.683,1.0,0.905,0.586,0.488,0.586,0.488,0.81,0.714,0.81,0.714,0.619,0.524,0.488,0.488,0.714,0.293,0.619,0.617,0.293,0.0,1.0,0.905
d,0.683,0.781,0.905,1.0,0.488,0.586,0.488,0.586,0.714,0.81,0.714,0.81,0.524,0.619,0.39,0.586,0.81,0.39,0.714,0.72,0.39,0.098,0.905,1.0
k,0.6,0.5,0.586,0.488,1.0,0.9,0.4,0.3,0.488,0.39,0.39,0.293,0.488,0.39,0.7,0.3,0.293,0.7,0.195,0.264,0.5,0.4,0.586,0.488
ɡ,0.5,0.6,0.488,0.586,0.9,1.0,0.3,0.4,0.39,0.488,0.293,0.39,0.39,0.488,0.6,0.4,0.39,0.8,0.293,0.369,0.6,0.5,0.488,0.586
f,0.8,0.7,0.586,0.488,0.4,0.3,1.0,0.9,0.683,0.586,0.781,0.683,0.683,0.586,0.5,0.5,0.293,0.1,0.39,0.369,0.3,0.2,0.586,0.488
v,0.7,0.8,0.488,0.586,0.3,0.4,0.9,1.0,0.586,0.683,0.683,0.781,0.586,0.683,0.4,0.6,0.39,0.2,0.488,0.474,0.4,0.3,0.488,0.586
θ,0.683,0.586,0.81,0.714,0.488,0.39,0.683,0.586,1.0,0.905,0.81,0.714,0.81,0.714,0.586,0.39,0.524,0.195,0.619,0.617,0.39,0.098,0.81,0.714
ð,0.586,0.683,0.714,0.81,0.39,0.488,0.586,0.683,0.905,1.0,0.714,0.81,0.714,0.81,0.488,0.488,0.619,0.293,0.714,0.72,0.488,0.195,0.714,0.81
s,0.586,0.488,0.81,0.714,0.39,0.293,0.781,0.683,0.81,0.714,1.0,0.905,0.81,0.714,0.488,0.293,0.524,0.098,0.619,0.617,0.293,0.0,0.81,0.714
z,0.488,0.586,0.714,0.81,0.293,0.39,0.683,0.781,0.714,0.81,0.905,1.0,0.714,0.81,0.39,0.39,0.619,0.195,0.714,0.72,0.39,0.098,0.714,0.81
ʃ,0.488,0.39,0.619,0.524,0.488,0.39,0.683,0.586,0.81,0.714,0.81,0.714,1.0,0.905,0.586,0.195,0.333,0.195,0.429,0.411,0.39,0.098,0.619,0.524
ʒ,0.39,0.488,0.524,0.619,0.39,0.488,0.586,0.683,0.714,0.81,0.714,0.81,0.905,1.0,0.488,0.293,0.429,0.293,0.524,0.514,0.488,0.195,0.524,0.619
h,0.5,0.4,0.488,0.39,0.7,0.6,0.5,0.4,0.586,0.488,0.488,0.39,0.586,0.488,1.0,0.4,0.39,0.6,0.488,0.474,0.6,0.5,0.488,0.39
m,0.7,0.8,0.488,0.586,0.3,0.4,0.5,0.6,0.39,0.488,0.293,0.39,0.195,0.293,0.4,1.0,0.781,0.6,0.488,0.474,0.4,0.3,0.488,0.586
n,0.488,0.586,0.714,0.81,0.293,0.39,0.293,0.39,0.524,0.619,0.524,0.619,0.333,0.429,0.39,0.781,1.0,0.586,0.714,0.72,0.39,0.098,0.714,0.81
ŋ,0.3,0.4,0.293,0.39,0.7,0.8,0.1,0.2,0.195,0.293,0.098,0.195,0.195,0.293,0.6,0.6,0.586,1.0,0.293,0.369,0.6,0.5,0.293,0.39
l,0.39,0.488,0.619,0.714,0.195,0.293,0.39,0.488,0.619,0.714,0.619,0.714,0.429,0.524,0.488,0.488,0.714,0.293,1.0,0.823,0.488,0.195,0.619,0.714
r,0.369,0.474,0.617,0.72,0.264,0.369,0.369,0.474,0.617,0.72,0.617,0.72,0.411,0.514,0.474,0.474,0.72,0.369,0.823,1.0,0.58,0.264,0.617,0.72
j,0.3,0.4,0.293,0.39,0.5,0.6,0.3,0.4,0.39,0.488,0.293,0.39,0.39,0.488,0.6,0.4,0.39,0.6,0.488,0.58,1.0,0.7,0.293,0.39
w,0.2,0.3,0.0,0.098,0.4,0.5,0.2,0.3,0.098,0.195,0.0,0.098,0.098,0.195,0.5,0.3,0.098,0.5,0.195,0.264,0.7,1.0,0.0,0.098
tʃ,0.781,0.683,1.0,0.905,0.586,0.488,0.586,0.488,0.81,0.714,0.81,0.714,0.619,0.524,0.488,0.488,0.714,0.293,0.619,0.617,0.293,0.0,1.0,0.905
dʒ,0.683,0.781,0.905,1.0,0.488,0.586,0.488,0.586,0.714,0.81,0.714,0.81,0.524,0.619,0.39,0.586,0.81,0.39,0.714,0.72,0.39,0.098,0.905,1.0
