       p     b     t     d     k     ɡ     f     v     θ     ð     s     z     ʃ     ʒ     h     m     n     ŋ     l     r     j     w    tʃ    dʒ
p  1.000 0.900 0.781 0.683 0.600 0.500 0.800 0.700 0.683 0.586 0.586 0.488 0.488 0.390 0.500 0.700 0.488 0.300 0.390 0.369 0.300 0.200 0.781 0.683
b  0.900 1.000 0.683 0.781 0.500 0.600 0.700 0.800 0.586 0.683 0.488 0.586 0.390 0.488 0.400 0.800 0.586 0.400 0.488 0.474 0.400 0.300 0.683 0.781
t  0.781 0.683 1.000 0.905 0.586 0.488 0.586 0.488 0.810 0.714 0.810 0.714 0.619 0.524 0.488 0.488 0.714 0.293 0.619 0.617 0.293 0.000 1.000 0.905
d  0.683 0.781 0.905 1.000 0.488 0.586 0.488 0.586 0.714 0.810 0.714 0.810 0.524 0.619 0.390 0.586 0.810 0.390 0.714 0.720 0.390 0.098 0.905 1.000
k  0.600 0.500 0.586 0.488 1.000 0.900 0.400 0.300 0.488 0.390 0.390 0.293 0.488 0.390 0.700 0.300 0.293 0.700 0.195 0.264 0.500 0.400 0.586 0.488
ɡ  0.500 0.600 0.488 0.586 0.900 1.000 0.300 0.400 0.390 0.488 0.293 0.390 0.390 0.488 0.600 0.400 0.390 0.800 0.293 0.369 0.600 0.500 0.488 0.586
f  0.800 0.700 0.586 0.488 0.400 0.300 1.000 0.900 0.683 0.586 0.781 0.683 0.683 0.586 0.500 0.500 0.293 0.100 0.390 0.369 0.300 0.200 0.586 0.488
v  0.700 0.800 0.488 0.586 0.300 0.400 0.900 1.000 0.586 0.683 0.683 0.781 0.586 0.683 0.400 0.600 0.390 0.200 0.488 0.474 0.400 0.300 0.488 0.586
θ  0.683 0.586 0.810 0.714 0.488 0.390 0.683 0.586 1.000 0.905 0.810 0.714 0.810 0.714 0.586 0.390 0.524 0.195 0.619 0.617 0.390 0.098 0.810 0.714
ð  0.586 0.683 0.714 0.810 0.390 0.488 0.586 0.683 0.905 1.000 0.714 0.810 0.714 0.810 0.488 0.488 0.619 0.293 0.714 0.720 0.488 0.195 0.714 0.810
s  0.586 0.488 0.810 0.714 0.390 0.293 0.781 0.683 0.810 0.714 1.000 0.905 0.810 0.714 0.488 0.293 0.524 0.098 0.619 0.617 0.293 0.000 0.810 0.714
z  0.488 0.586 0.714 0.810 0.293 0.390 0.683 0.781 0.714 0.810 0.905 1.000 0.714 0.810 0.390 0.390 0.619 0.195 0.714 0.720 0.390 0.098 0.714 0.810
ʃ  0.488 0.390 0.619 0.524 0.488 0.390 0.683 0.586 0.810 0.714 0.810 0.714 1.000 0.905 0.586 0.195 0.333 0.195 0.429 0.411 0.390 0.098 0.619 0.524
ʒ  0.390 0.488 0.524 0.619 0.390 0.488 0.586 0.683 0.714 0.810 0.714 0.810 0.905 1.000 0.488 0.293 0.429 0.293 0.524 0.514 0.488 0.195 0.524 0.619
h  0.500 0.400 0.488 0.390 0.700 0.600 0.500 0.400 0.586 0.488 0.488 0.390 0.586 0.488 1.000 0.400 0.390 0.600 0.488 0.474 0.600 0.500 0.488 0.390
m  0.700 0.800 0.488 0.586 0.300 0.400 0.500 0.600 0.390 0.488 0.293 0.390 0.195 0.293 0.400 1.000 0.781 0.600 0.488 0.474 0.400 0.300 0.488 0.586
n  0.488 0.586 0.714 0.810 0.293 0.390 0.293 0.390 0.524 0.619 0.524 0.619 0.333 0.429 0.390 0.781 1.000 0.586 0.714 0.720 0.390 0.098 0.714 0.810
ŋ  0.300 0.400 0.293 0.390 0.700 0.800 0.100 0.200 0.195 0.293 0.098 0.195 0.195 0.293 0.600 0.600 0.586 1.000 0.293 0.369 0.600 0.500 0.293 0.390
l  0.390 0.488 0.619 0.714 0.195 0.293 0.390 0.488 0.619 0.714 0.619 0.714 0.429 0.524 0.488 0.488 0.714 0.293 1.000 0.823 0.488 0.195 0.619 0.714
r  0.369 0.474 0.617 0.720 0.264 0.369 0.369 0.474 0.617 0.720 0.617 0.720 0.411 0.514 0.474 0.474 0.720 0.369 0.823 1.000 0.580 0.264 0.617 0.720
j  0.300 0.400 0.293 0.390 0.500 0.600 0.300 0.400 0.390 0.488 0.293 0.390 0.390 0.488 0.600 0.400 0.390 0.600 0.488 0.580 1.000 0.700 0.293 0.390
w  0.200 0.300 0.000 0.098 0.400 0.500 0.200 0.300 0.098 0.195 0.000 0.098 0.098 0.195 0.500 0.300 0.098 0.500 0.195 0.264 0.700 1.000 0.000 0.098
tʃ 0.781 0.683 1.000 0.905 0.586 0.488 0.586 0.488 0.810 0.714 0.810 0.714 0.619 0.524 0.488 0.488 0.714 0.293 0.619 0.617 0.293 0.000 1.000 0.905
dʒ 0.683 0.781 0.905 1.000 0.488 0.586 0.488 0.586 0.714 0.810 0.714 0.810 0.524 0.619 0.390 0.586 0.810 0.390 0.714 0.720 0.390 0.098 0.905 1.000
