       i    iː     ɪ     e    eɪ     ɛ     æ     a     ɑ    ɑː     ɒ     ɔ    ɔː     o    oʊ     u    uː     ʊ     ə     ɐ     ʌ    ə˞    ɜ˞     ɹ    aɪ    aʊ    ɔɪ
i  1.000 0.900 0.900 0.900 0.900 0.800 0.800 0.700 0.667 0.564 0.600 0.600 0.500 0.700 0.700 0.700 0.600 0.700 0.700 0.900 0.800 0.683 0.683 0.634 0.700 0.700 0.600
iː 0.900 1.000 0.800 0.800 0.800 0.700 0.700 0.600 0.564 0.667 0.500 0.500 0.600 0.600 0.600 0.600 0.700 0.600 0.600 0.800 0.700 0.586 0.586 0.537 0.600 0.600 0.500
ɪ  0.900 0.800 1.000 0.800 0.800 0.900 0.700 0.600 0.564 0.462 0.500 0.700 0.600 0.600 0.600 0.600 0.500 0.800 0.800 0.800 0.700 0.781 0.781 0.634 0.600 0.600 0.700
e  0.900 0.800 0.800 1.000 1.000 0.900 0.900 0.800 0.769 0.667 0.700 0.700 0.600 0.800 0.800 0.600 0.500 0.600 0.800 1.000 0.900 0.586 0.586 0.537 0.800 0.800 0.700
eɪ 0.900 0.800 0.800 1.000 1.000 0.900 0.900 0.800 0.769 0.667 0.700 0.700 0.600 0.800 0.800 0.600 0.500 0.600 0.800 1.000 0.900 0.586 0.586 0.537 0.800 0.800 0.700
ɛ  0.800 0.700 0.900 0.900 0.900 1.000 0.800 0.700 0.667 0.564 0.600 0.800 0.700 0.700 0.700 0.500 0.400 0.700 0.900 0.900 0.800 0.683 0.683 0.537 0.700 0.700 0.800
æ  0.800 0.700 0.700 0.900 0.900 0.800 1.000 0.900 0.872 0.769 0.800 0.600 0.500 0.700 0.700 0.500 0.400 0.500 0.700 0.900 0.800 0.488 0.488 0.439 0.900 0.900 0.600
a  0.700 0.600 0.600 0.800 0.800 0.700 0.900 1.000 0.975 0.872 0.900 0.700 0.600 0.800 0.800 0.600 0.500 0.600 0.800 0.800 0.900 0.586 0.586 0.342 1.000 1.000 0.700
ɑ  0.667 0.564 0.564 0.769 0.769 0.667 0.872 0.975 1.000 0.895 0.872 0.667 0.564 0.769 0.769 0.564 0.462 0.564 0.769 0.769 0.872 0.551 0.551 0.300 0.975 0.975 0.667
ɑː 0.564 0.667 0.462 0.667 0.667 0.564 0.769 0.872 0.895 1.000 0.769 0.564 0.667 0.667 0.667 0.462 0.564 0.462 0.667 0.667 0.769 0.451 0.451 0.200 0.872 0.872 0.564
